"","NAME2","ISLAND","date","mean_Kd490_ESA_OC_CCI_8Day_SPAN","q05_Kd490_ESA_OC_CCI_8Day_SPAN","q95_Kd490_ESA_OC_CCI_8Day_SPAN","sd_Kd490_ESA_OC_CCI_8Day_SPAN"
"48","KOOLAU MOL","Molokai","2019",0.0347026758926346,0.0305899051949382,0.0397211588919163,0.00294805759291732
"49","KALAWA","Molokai","2013",0.0327196704844634,0.0288497269153595,0.0370259128510952,0.00280580949758967
"50","KALAWA","Molokai","2016",0.0332198938394481,0.0284564135596156,0.0404216416180134,0.00385423747235758
"51","KALAWA","Molokai","2019",0.0332748287139421,0.0297685699537396,0.0395454626530409,0.00308609546666831
"52","PALAAU","Molokai","2013",0.0477916950529272,0.03840008135885,0.0592755056917667,0.00730619075483018
"53","PALAAU","Molokai","2016",0.0457720580570241,0.035917267203331,0.0575860925018787,0.0069251081055512
"54","PALAAU","Molokai","2019",0.0450451423988697,0.0338322531431913,0.0624838329851627,0.0114617316383582
"55","KALUAKOI","Molokai","2013",0.0363231227990795,0.0317651186138391,0.0419260315597057,0.00370730922010329
"56","KALUAKOI","Molokai","2016",0.0353968465264807,0.0305108027532697,0.0414938136935234,0.00376251916263623
"57","KALUAKOI","Molokai","2019",0.0344210497321601,0.0300583699718118,0.0407461475580931,0.00399653691893835
"58","KONA MOL","Molokai","2013",0.0384931378859155,0.0336622644215822,0.0444636359810829,0.00364955986627423
"59","KONA MOL","Molokai","2016",0.0378744476970206,0.0335429474711418,0.0441788870841265,0.00368491188965284
"60","KONA MOL","Molokai","2019",0.0367543160360544,0.0325273621827364,0.0429804783314467,0.0035289597479058
"61","KAANAPALI","Maui","2013",0.0383916952587823,0.031170722655952,0.0504296857863665,0.00673513850472795
"62","KAANAPALI","Maui","2016",0.0375696040214376,0.0310924096032977,0.0439608160406351,0.00492469138969755
"63","KAANAPALI","Maui","2019",0.0369703356335138,0.032277475297451,0.0457312982529402,0.00418227503381694
"64","HAMAKUAPOKO","Maui","2013",0.0364783261385229,0.0312537506222725,0.0452783204615116,0.00459397865062848
"65","HAMAKUAPOKO","Maui","2016",0.0409303594973277,0.0307990271598101,0.0570883756503463,0.00891237645035344
"66","HAMAKUAPOKO","Maui","2019",0.0381564400456053,0.031910802051425,0.0525697544217109,0.00817333286906312
"67","HAMAKUALOA","Maui","2013",0.034942234061997,0.0305068242363632,0.0403596829622984,0.00390085734087041
"68","HAMAKUALOA","Maui","2016",0.0393927486406432,0.028880325332284,0.060118393599987,0.00907935951847647
"69","HAMAKUALOA","Maui","2019",0.0363594019349585,0.0307319538667798,0.0443926680833101,0.00529244080276031
"70","WAILUKU","Maui","2013",0.0359710043042221,0.0305418100208044,0.0435384474694729,0.00520355740384973
"71","WAILUKU","Maui","2016",0.0369192644615065,0.0305113266222179,0.0465232539921999,0.0053850329475334
"72","WAILUKU","Maui","2019",0.0357507676520246,0.0307171255350113,0.043116070702672,0.00371336899425234
"73","KOOLAU MAU","Maui","2013",0.036610979132536,0.0301809422671795,0.0456357635557652,0.00521963191366075
